path,source,label
/workspaces/SigWavNet-Learning/EmoDB/13a02Ec.wav,EMO-DB,disgust
/workspaces/SigWavNet-Learning/EmoDB/16a07Lb.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/15a02Ea.wav,EMO-DB,disgust
/workspaces/SigWavNet-Learning/EmoDB/08a04La.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/09b09Ea.wav,EMO-DB,disgust
/workspaces/SigWavNet-Learning/EmoDB/03a07Fb.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/11a02Tc.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/09b09Nd.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/08b10Tc.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/13b09Ec.wav,EMO-DB,disgust
/workspaces/SigWavNet-Learning/EmoDB/16a04Nc.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/13a05Ea.wav,EMO-DB,disgust
/workspaces/SigWavNet-Learning/EmoDB/13b09Na.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/11a05Na.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/03b10Ec.wav,EMO-DB,disgust
/workspaces/SigWavNet-Learning/EmoDB/11a04Nd.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/12a02Wa.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/15b03Tc.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/08a07Wc.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/10b01Aa.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/09b01Na.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/03b10Wb.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/03a04Ad.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/09a04Fd.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/13b09Wa.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/08a07Tb.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/16b01Tb.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/08a07La.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/16a07La.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/11a02Fb.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/13a04Ac.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/13a05Wa.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/13b01Nc.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/16b03Ta.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/08a04Ff.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/14a05Aa.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/09b10Aa.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/14a04Aa.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/08a04Nc.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/13b01Fc.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/03a05Nd.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/13a07Na.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/16a02Nb.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/09a07Na.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/14b09Fc.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/10a05Tb.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/15b02Wa.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/08a01Na.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/16b10Tb.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/12b03La.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/14b09Ea.wav,EMO-DB,disgust
/workspaces/SigWavNet-Learning/EmoDB/16b03Fd.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/10b03La.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/03b01Fa.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/16b03La.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/11a02Ld.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/14b03Ad.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/11b01Eb.wav,EMO-DB,disgust
/workspaces/SigWavNet-Learning/EmoDB/08b09Tb.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/08a05Wa.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/08a01Ab.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/14a02Tb.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/15b09Ac.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/15b10Nb.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/10b01Ea.wav,EMO-DB,disgust
/workspaces/SigWavNet-Learning/EmoDB/11b01Ab.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/15b02Aa.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/15a05Na.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/08b09Nb.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/13a05Nb.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/15a07Ac.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/08a05Nb.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/12a04Wc.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/14a07Ld.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/03b02Tb.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/08b03Tc.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/15b03Lc.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/13b09Fb.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/14a01Na.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/13b02Wa.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/15a05Lb.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/15a04Wb.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/13a01Ac.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/11a07Ld.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/11b09Wa.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/03b01Nb.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/16a05Ab.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/16b10Lb.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/14a02Wc.wav,EMO-DB,angry
/workspaces/SigWavNet-Learning/EmoDB/14b02Fb.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/08b01Fe.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/16a02Lb.wav,EMO-DB,boredom
/workspaces/SigWavNet-Learning/EmoDB/13b02Nb.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/03b10Ab.wav,EMO-DB,fear
/workspaces/SigWavNet-Learning/EmoDB/15a07Fb.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/11b10Td.wav,EMO-DB,sad
/workspaces/SigWavNet-Learning/EmoDB/10b02Na.wav,EMO-DB,neutral
/workspaces/SigWavNet-Learning/EmoDB/14a05Fa.wav,EMO-DB,happy
/workspaces/SigWavNet-Learning/EmoDB/14b01Wc.wav,EMO-DB,angry
